id,level,category,en,zh,zh_pinyin,de,es,fr,ja,ja_romaji,pt,ru,notes
1,basic,Greetings,"Hello, how are you today?",你好，你今天过得怎么样？,"Nǐ hǎo, nǐ jīntiān guò de zěnmeyàng?","Hallo, wie geht es dir heute?","Hola, ¿cómo estás hoy?","Bonjour, comment vas-tu aujourd'hui ?",こんにちは、今日の調子はいかがですか？,"Konnichiwa, kyō no chōshi wa ikaga desu ka?","Olá, como você está hoje?","Здравствуйте, как ваши дела сегодня?","Standard everyday greeting. German uses dative 'dir', Russian uses plural/polite 'ваши дела'."
2,basic,Introductions,"My name is Alex, and I am learning several languages.",我叫亚历克斯，我正在学习几门语言。,"Wǒ jiào Yàlìkèsī, wǒ zhèngzài xuéxí jǐ mén yǔyán.",Mein Name ist Alex und ich lerne mehrere Sprachen.,Me llamo Alex y estoy aprendiendo varios idiomas.,Je m'appelle Alex et j'apprends plusieurs langues.,私の名前はアレックスで、いくつかの言語を学んでいます。,"Watashi no namae wa Arekkusu de, ikutsu ka no gengo o manande imasu.",Meu nome é Alex e estou aprendendo vários idiomas.,"Меня зовут Алекс, и я учу несколько языков.",Introductions with reflexive verbs in Spanish ('me llamo') and French ('je m'appelle').
3,basic,Travel & Transit,Where is the nearest train station?,最近的火车站是在哪里？,Zuìjìn de huǒchēzhàn zài nǎlǐ?,Wo ist der nächste Bahnhof?,¿Dónde está la estación de tren más cercana?,Où se trouve la gare la plus proche ?,最寄りの駅はどこですか？,Moyori no eki wa doko desu ka?,Onde fica a estação de trem mais próxima?,Где находится ближайший вокзал?,"Superlative forms for 'nearest': 'nächste' (DE), 'plus proche' (FR), 'más cercana' (ES), '最寄りの' (JA)."
4,basic,Dining,Could I please have a glass of water and the bill?,请给我一杯水和账单，谢谢。,"Qǐng gěi wǒ yì bēi shuǐ hé zhàngdān, xièxie.",Könnte ich bitte ein Glas Wasser und die Rechnung haben?,"¿Podría traerme un vaso de agua y la cuenta, por favor?","Pourrais-je avoir un verre d'eau et l'addition, s'il vous plaît ?",お水一杯とお会計をお願いできますか？,Omizu ippai to okaikei o onegai dekimasu ka?,"Você poderia me trazer um copo de água e a conta, por favor?","Можно мне, пожалуйста, стакан воды и счёт?","Polite conditional requests: 'Könnte ich' (DE), 'Podría' (ES), 'Pourrais-je' (FR), 'Можно мне' (RU)."
5,basic,Weather,The weather is very pleasant this morning.,今天早上的天气非常宜人。,Jīntiān zǎoshang de tiānqì fēicháng yírén.,Das Wetter ist heute Morgen sehr angenehm.,El clima está muy agradable esta mañana.,Le temps est très agréable ce matin.,今朝はとても気持ちのいい天気です。,Kesa wa totemo kimochi no ii tenki desu.,O tempo está muito agradável esta manhã.,Сегодня утром очень приятная погода.,"Notice temporal adverbs: 'heute Morgen' (DE), 'ce matin' (FR), '今朝' (JA kesa), 'сегодня утром' (RU)."
6,basic,Time & Schedule,What time does the library open tomorrow?,图书馆明天几点开门？,Túshūguǎn míngtiān jǐ diǎn kāimén?,Um wie viel Uhr öffnet die Bibliothek morgen?,¿A qué hora abre la biblioteca mañana?,À quelle heure ouvre la bibliothèque demain ?,図書館は明日何時に開きますか？,Toshokan wa ashita nanji ni akimasu ka?,A que horas a biblioteca abre amanhã?,Во сколько завтра открывается библиотека?,"Time inquiry structure: 'Um wie viel Uhr' (DE), 'À quelle heure' (FR), '何時に' (JA nanji ni)."
7,basic,Sightseeing,I would like to buy two tickets to the museum.,我想买两张去博物馆的票。,Wǒ xiǎng mǎi liǎng zhāng qù bówùguǎn de piào.,Ich möchte zwei Eintrittskarten für das Museum kaufen.,Me gustaría comprar dos entradas para el museo.,J'aimerais acheter deux billets pour le musée.,博物館のチケットを2枚購入したいです。,Hakubutsukan no chiketto o nimai kōnyū shitai desu.,Gostaria de comprar dois ingressos para o museu.,Я хотел бы купить два билета в музей.,"Polite intention: 'Ich möchte' (DE), 'J'aimerais' (FR), '購入したい' (JA -tai form), 'Gostaria' (PT)."
8,basic,Communication,Do you speak English or German?,你会说英语还是德语？,Nǐ huì shuō Yīngyǔ háishì Déyǔ?,Sprechen Sie Englisch oder Deutsch?,¿Hablas inglés o alemán?,Parlez-vous anglais ou allemand ?,英語かドイツ語を話せますか？,Eigo ka Doitsugo o hanasemasu ka?,Você fala inglês ou alemão?,Вы говорите по-английски или по-немецки?,Ability/language inquiry: Chinese uses '还是' for alternative choice questions; Russian uses adverbial form 'по-английски'.
9,basic,Dining,"This coffee is delicious, but it is a bit too sweet.",这杯咖啡很好喝，但稍微偏甜了一点。,"Zhè bēi kāfēi hěn hǎohē, dàn shāowēi piān tián le yìdiǎn.","Dieser Kaffee ist köstlich, aber etwas zu süß.","Este café está delicioso, pero un poco demasiado dulce.","Ce café est délicieux, mais un peu trop sucré.",このコーヒーは美味しいですが、少し甘すぎます。,"Kono kōhī wa oishii desu ga, sukoshi amasugimasu.","Este café está delicioso, mas um pouco doce demais.","Этот кофе очень вкусный, но немного слишком сладкий.","Excessive degree: 'zu süß' (DE), 'trop sucré' (FR), '甘すぎる' (JA -sugiru), 'слишком сладкий' (RU)."
10,basic,Daily Routine,I need to wake up early tomorrow for an appointment.,我明天需要早起去赴一个预约。,Wǒ míngtiān xūyào zǎoqǐ qù fù yí ge yùyuē.,"Ich muss morgen früh aufstehen, weil ich einen Termin habe.",Necesito levantarme temprano mañana para una cita.,Je dois me lever tôt demain pour un rendez-vous.,明日は予定があるので早起きしなければなりません。,Ashita wa yotei ga aru node hayaoki shinakereba narimasen.,Preciso acordar cedo amanhã para um compromisso.,Мне нужно завтра рано встать из-за встречи.,"Obligation expressing: 'muss aufstehen' (DE separable verb), 'dois me lever' (FR reflexive)."
